Gran grupo,Sub grupo principal,Sub grupo,Grupo primario,Descripcion CNO 2015,Orden
,,,4110,Jefes de empleados administrativos,311
,,412,,Secretarios,312
,,,4120,Secretarios,313
,,413,,Operadores de máquinas de oficina,314
,,,4131,Empleados de registros,315
,,,4132,Transcriptores de datos e información,316
,42,,,Empleados en trato directo con el público,317
,,421,,Pagadores y cobradores de ventanilla y afines,318
,,,4211,Cajeros de bancos y afines,319
,,,4212,Empleados de ventas de apuestas y de salas de juego,320
,,,4213,Empleados de casas de empeño y de préstamo,321
,,,4214,Cobradores y afines,322
,,422,,Empleados de servicios de información al cliente,323
,,,4221,Empleados de agencias de viajes,324
,,,4222,Empleados de centros de llamadas,325
,,,4223,Empleados de ventanillas de informes,326
,,,4224,Recepcionistas,327
,,,4225,Entrevistadores de encuestas y de investigaciones de mercados,328
,,,4229,Otros empleados de servicios de información al cliente,329
,43,,,Empleados contables y encargados del registro de materiales,330
,,431,,Empleados contables y financieros,331
,,,4311,Empleados de contabilidad y cálculo de costos,332
,,,4312,"Empleados de servicios estadísticos, financieros y de seguros",333
,,,4313,Empleados encargados de las nóminas,334
,,432,,Empleados encargados del registro de materiales y de transportes,335
,,,4321,Empleados de control de abastecimiento e inventario,336
,,,4322,Empleados de servicios de apoyo a la producción,337
,,,4323,Empleados de servicios de transporte,338
,44,,,Otro personal de apoyo administrativo,339
,,441,,Otro personal de apoyo administrativo,340
,,,4411,Empleados de bibliotecas,341
,,,4412,Empleados de servicios de correos,342
,,,4413,"Codificadores de datos, correctores de pruebas de imprenta y afines",343
,,,4414,Escribientes públicos y afines,344
,,,4415,Empleados de archivos,345
,,,4416,Empleados del servicio de personal,346
,,,4417,"Auxiliares en la administración, contabilidad, derecho y afines",347
,,,4419,Otro personal de apoyo administrativo,348
5,,,,Trabajadores de los servicios y vendedores de comercios y mercados,349
,51,,,Trabajadores de los servicios personales,350
,,511,,Personal al servicio directo de los pasajeros,351
,,,5111,"Auxiliares de vuelo, camareros de avión y barco ",352
,,,5112,Revisores de los transportes terrestres,353
,,,5113,Guías de turismo,354
,,512,,Cocineros,355
,,,5120,Cocineros,356
,,513,,Camareros,357
,,,5131,Camareros de mesas,358
,,,5132,Camareros de barra,359
,,514,,"Peluqueros, especialistas en tratamientos de belleza y afines",360
,,,5141,Peluqueros,361
,,,5142,Especialistas en tratamientos de belleza y afines,362
